127.0.0.1, 2014-06-06 12:13:45, GET, /, HTTP/1.1, 303, 0.000758
127.0.0.1, 2014-06-06 12:13:46, GET, /welcome/default/index, HTTP/1.1, 200, 1.032278
127.0.0.1, 2014-06-06 12:16:43, GET, /welcome/stream, HTTP/1.1, 200, 0.404949
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/stream, HTTP/1.1, 200, 0.055334
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000273
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000200
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000200
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000196
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000189
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000231
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000198
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000277
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000250
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000188
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000289
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000204
127.0.0.1, 2014-06-06 12:17:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000278
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/stream, HTTP/1.1, 200, 0.050889
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000260
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000240
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000329
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000243
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000243
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000235
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000299
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000244
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000755
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000331
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000426
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000179
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000260
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000238
127.0.0.1, 2014-06-06 12:17:12, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000179
127.0.0.1, 2014-06-06 12:17:15, GET, /welcome/stream, HTTP/1.1, 200, 0.028536
127.0.0.1, 2014-06-06 12:17:15, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000271
